Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
59,   7/4/2024, 08:22:38.616750,   7/4/2024, 08:22:38.446228,      Primary,2,0,-2290,2280,7820,0.34,187.75,25,26.7,56.5,2.8,1000000,     L2 msmx,8.8
65,   7/4/2024, 08:22:50.641750,   7/4/2024, 08:22:50.987392,      Primary,2,0,-2380,2290,7900,0.71,187.75,25,15.8,43.3,3,1000000,     L2 msmx,8.26
84,   7/4/2024, 08:23:31.781500,   7/4/2024, 08:23:31.646626,      Primary,2,0,-2380,2360,7850,0.36,187.75,25,22.9,64,1.9,1000000,     L2 msmx,10.44
137,   7/4/2024, 08:25:21.303250,   7/4/2024, 08:25:21.132864,      Primary,2,0,420,3380,6660,-0.31,56.63,25,7.3,24.5,1.5,1000000,     L2 msmx,9.61
451,   7/4/2024, 08:35:51.359500,   7/4/2024, 08:35:51.331299,      Primary,2,0,-2040,2170,7780,-0.18,35.95,25,5.5,8,1.6,1000000,     L2 msmx,9.26
698,   7/4/2024, 08:43:56.565000,   7/4/2024, 08:43:56.434219,      Primary,2,0,-2530,2540,6740,0.16,187.75,25,63.6,166.3,1.6,1000000,     L2 msmx,8.01
717,   7/4/2024, 08:44:38.462500,   7/4/2024, 08:44:38.288452,      Primary,2,0,-2390,2280,7870,0.57,187.75,25,52.9,109.8,3.9,1000000,     L2 msmx,9.22
718,   7/4/2024, 08:44:41.069500,   7/4/2024, 08:44:40.772472,      Primary,2,0,-2470,2400,7730,-0.11,66.3,25,3.5,4.7,1.5,1000000,     L2 msmx,19.35
722,   7/4/2024, 08:44:50.442500,   7/4/2024, 08:44:50.258862,      Primary,2,0,-2380,2250,7920,-0.05,113.35,25,4,6.3,1.8,1000000,     L2 msmx,11.23
737,   7/4/2024, 08:45:13.811750,   7/4/2024, 08:45:13.629586,      Primary,2,0,-2460,2270,7910,0.45,187.75,25,6.5,16,2.9,1000000,     L2 msmx,11.24
747,   7/4/2024, 08:45:37.566750,   7/4/2024, 08:45:37.401253,      Primary,2,0,-2070,2070,8150,0.73,187.75,25,47.7,91.5,3.5,1000000,     L2 msmx,14.73
768,   7/4/2024, 08:46:28.282000,   7/4/2024, 08:46:28.094324,      Primary,2,0,-2260,2180,8020,0.77,187.75,25,14.5,15.9,2.4,1000000,     L2 msmx,13.83
770,   7/4/2024, 08:46:32.951500,   7/4/2024, 08:46:32.806778,      Primary,2,0,-1760,2000,8150,-0.09,70.08,25,3.9,5.7,1.5,1000000,     L2 msmx,10.88
989,   7/4/2024, 08:53:51.239000,   7/4/2024, 08:53:51.223797,      Primary,2,0,-2370,2270,7770,-0.23,51.13,25,18.3,17.6,1.6,1000000,     L2 msmx,8.08
1105,   7/4/2024, 08:57:47.471500,   7/4/2024, 08:57:47.608372,      Primary,2,0,-580,2450,6450,-0.05,112.34,25,16.6,25.9,1.7,1000000,     L2 msmx,7.98
1324,   7/4/2024, 09:05:48.750000,   7/4/2024, 09:05:48.582649,      Primary,2,0,-2390,2330,7640,-0.24,59.54,25,19.3,35.8,1.5,1000000,     L2 msmx,7.88
1465,   7/4/2024, 09:10:52.231000,   7/4/2024, 09:10:52.040451,      Primary,2,0,-2470,2270,8090,0.5,187.75,25,23.3,36.9,2.3,1000000,     L2 msmx,8.9
1580,   7/4/2024, 09:14:52.435250,   7/4/2024, 09:14:52.262836,      Primary,2,0,-2190,2180,7970,0.15,184.22,25,19.1,72.6,1.8,1000000,     L2 msmx,8.08
1599,   7/4/2024, 09:15:29.778250,   7/4/2024, 09:15:29.597206,      Primary,2,0,-2240,2230,7890,-0.1,89.06,25,4.6,12,1.7,1000000,     L2 msmx,8.5
1612,   7/4/2024, 09:15:59.219250,   7/4/2024, 09:15:59.380322,      Primary,2,0,-2160,2210,8040,0.03,52.34,25,4.8,6.4,1.8,1000000,     L2 msmx,7.82
1682,   7/4/2024, 09:18:30.804250,   7/4/2024, 09:18:30.774630,      Primary,2,0,-1570,2210,7840,0.35,187.75,25,17.1,26.1,3.9,1000000,     L2 msmx,7.87
1796,   7/4/2024, 09:22:28.545500,   7/4/2024, 09:22:28.348276,      Primary,2,0,-380,2130,8220,0.22,110.23,25,28.8,72.5,3.3,1000000,     L2 msmx,11.33
1987,   7/4/2024, 09:29:22.258250,   7/4/2024, 09:29:22.074556,      Primary,2,0,-2310,2210,8160,0.53,187.75,25,45.4,60.9,3.4,1000000,     L2 msmx,9.24
2039,   7/4/2024, 09:31:05.755250,   7/4/2024, 09:31:05.586843,      Primary,2,0,-2490,2260,7660,-0.02,133.75,25,19.1,80.5,1.5,1000000,     L2 msmx,8.15
2129,   7/4/2024, 09:35:19.550250,   7/4/2024, 09:35:19.501682,      Primary,2,0,500,3220,8290,0,81.09,25,7.1,16.6,2,1000000,     L2 msmx,8.36
2309,   7/4/2024, 09:41:56.761500,   7/4/2024, 09:41:56.594788,      Primary,2,0,-100,3460,7060,0.09,123.48,25,157.4,152.1,1.9,1000000,     L2 msmx,9.12
2459,   7/4/2024, 09:47:13.441000,   7/4/2024, 09:47:13.500441,      Primary,2,0,-240,2100,8170,0.12,74.37,25,13.9,22.9,3.1,1000000,     L2 msmx,8.08
2474,   7/4/2024, 09:47:47.538500,   7/4/2024, 09:47:47.322208,      Primary,2,0,-2310,2310,7790,-0.14,62.59,25,13,36.1,1.7,1000000,     L2 msmx,8.55
2507,   7/4/2024, 09:48:51.259500,   7/4/2024, 09:48:51.098343,      Primary,2,0,-460,3410,6890,0.11,100.83,25,111.5,59.7,2,1000000,     L2 msmx,8.79
2509,   7/4/2024, 09:48:58.133750,   7/4/2024, 09:48:57.956726,      Primary,2,0,-2590,2370,7020,0.26,187.75,25,6.3,12.6,2.1,1000000,     L2 msmx,10.4
2571,   7/4/2024, 09:51:03.437750,   7/4/2024, 09:51:03.223214,      Primary,2,0,-2320,2300,7710,-0.16,187.75,25,3.6,6.7,1.8,1000000,     L2 msmx,14.96
2654,   7/4/2024, 09:53:49.694500,   7/4/2024, 09:53:49.486034,      Primary,2,0,-2180,2300,7740,-0.14,72.37,25,8.7,16.8,1.6,1000000,     L2 msmx,8.74
2723,   7/4/2024, 09:55:59.241750,   7/4/2024, 09:55:59.399738,      Primary,2,0,-1750,2320,8160,1.31,370.24,25,18.5,43.7,4.6,1000000,     L2 msmx,21.15
2871,   7/4/2024, 10:01:16.277750,   7/4/2024, 10:01:16.074493,      Primary,2,0,-2350,2340,7710,0.01,128.2,25,19.2,65.1,2.5,1000000,     L2 msmx,9.33
2994,   7/4/2024, 10:05:48.569000,   7/4/2024, 10:05:48.613472,      Primary,2,0,-2400,2790,8190,-0.14,578.33,25,8.6,16.8,2,1000000,     L2 msmx,28.18
3485,   7/4/2024, 10:22:23.903000,   7/4/2024, 10:22:23.985085,      Primary,2,0,-2360,2330,7770,0.03,103.58,25,3.7,5.6,2.3,1000000,     L2 msmx,8.15
